githubId,githubUsername,commits
498906,carlossless,32
500703,retrry,2
500963,cbleslie,2
502805,Maxdamantus,1
502905,pkulak,4
503952,fusion44,1
504580,trobert,1
506953,ruuda,31
508402,lytedev,4
509966,kusold,4
510202,immae,2
510553,c0deaddict,10
513642,ArashPartow,1
514554,josvazg,2
516527,lluchs,16
516706,marienz,2
521306,robgssp,4
522123,jsravn,1
522465,jcdickinson,4
523628,djanatyn,2
524268,k0ral,9
524492,nvmd,20
524812,eliasnaur,10
525780,rrrnld,2
526307,endorama,2
526598,shouya,4
528591,blajos,4
529003,Xe,5
529436,ilpianista,4
529626,ius,39
531245,idrisr,2
534195,FraGag,16
534526,TWal,2
535135,bloveless,2
535520,Maverickzero,2
536697,dpzmick,1
538538,chreekat,6
540360,seanrmurphy,6
540621,smunix,1
542154,lorenzleutgeb,56
543055,shadaj,15
543423,centromere,62
544948,mikeland73,1
546087,kfollesdal,43
546681,Kiskae,217
547031,jherland,1
552624,sveith,1
554229,husjon,4
555003,taylor1791,3
557782,mitsutaka,1
560664,schuetzm,1
561087,toastal,307
561163,kennycallado,1
563054,ttuegel,75
564654,mknudsen,1
565371,rossng,1
566835,pawsen,15
567653,aaschmid,6
568764,juanibiapina,1
569494,qkaiser,1
569510,henrik-ch,113
570037,jeffutter,2
570297,cornedor,23
571411,zlalanne,5
575887,necrophcodr,9
576171,reimundklain,1
576355,basvandijk,12
579082,getreu,4
581308,cbergqvist,3
582775,klinger,2
583552,bhetman,1
583790,mpashton,1
585424,massix,10
585993,paul-jewell,1
587021,andrevmatos,116
587319,coltfred,1
588167,omgbebebe,2
589502,jtszalay,1
590450,yaymukund,9
590517,niklaskorz,178
590576,ihaveamac,2
591567,markus1189,26
591860,lionello,18
592876,rpearce,2
593204,W95Psp,6
593574,lewiscowper,1
593995,jmgao,1
594058,tslmy,3
596431,elvetemedve,1
596792,akscram,2
599915,sdedovic,3
601206,hmemcpy,3
601530,Atry,20
602439,snaar,4
602493,nberlee,1
603885,lucacome,1
605070,fzakaria,71
605072,goertzenator,3
605630,raphiz,1
605641,bjpbakker,2
607401,zyv,2
607715,LRFLEW,2
607976,jonahbron,1
609279,Fresheyeball,4
610962,aforemny,10
612224,kaiju,3
616082,sigprof,11
616184,PaulSalden,1
616192,MaestroJurko,2
617048,fitzgibbon,2
617130,skeuchel,30
617977,peret,11
620450,hamishmack,4
621306,alicebob,4
621759,Lassulus,98
622232,ck3mp3r,12
624072,rybak,1
624456,imran-iq,1
626069,mebubo,1
627285,supermarin,7
627831,phunehehe,2
628342,NeQuissimus,60
628359,felixsinger,206
628387,arianvp,275
628488,boomshroom,2
628729,yovko,4
629430,kuglimon,5
629710,thedavidmeister,1
630329,JonBoyleCoding,1
630909,rummik,2
631446,vincentbernat,22
631802,Chili-Man,3
632767,layus,147
635591,mightyiam,19
635768,jpagex,2
635786,TeofilC,8
638477,sidkshatriya,5
638836,andir,95
639066,lrewega,6
639461,viq,1
640797,CMCDragonkai,1
641278,rmcgibbo,57
641627,ChrisPattison,9
645017,petrkozorezov,2
645664,p-h,16
647076,yorickvP,214
647105,maximedenes,5
647437,gabyx,17
647710,alexanderkjall,1
649161,akshaymankar,4
649320,heirecka,3
649724,pocek,3
649832,nightkr,2
650601,ivan-tkatchev,9
651224,MasonM,1
653988,esterlus,4
654400,timfenney,4
656555,efirestone,1
657779,greg0ire,1
658612,mipmip,3
659579,brookst,1
660911,jonhermansen,2
661909,anmonteiro,18
661984,zilti,5
662538,beardhatcode,28
662666,justinas,97
663247,bl1nk,1
665072,bittner,6
665472,hehongbo,4
666033,laozc,1
666148,neduard,1
666939,t-jindai,4
668505,jnsgruk,251
668926,mguentner,23
668956,mmusnjak,2
669650,jasom,1
672246,notnmeyer,1
674165,ryansname,2
674325,JackSullivan,1
675854,mmarx,20
676409,connorfeeley,1
676838,pallix,6
677254,goatchurchprime,2
678511,ThomasMader,1
679122,nagisa,30
